player_name,teams,FG%,3PT FG%,FT%,SPG,BPG,PPG,APG,RPG,games_played
John Butler Jr.,Trail Blazers,67.86,22.86,75.0,0.07,0.13,10.9,0.7,1.1,15
Shaquille O'Neal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Adam Keefe,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tony Smith,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Trent Forrest,Hawks,81.29,0.0,66.67,0.61,0.33,15.6,2.1,1.9,18
Jarrett Culver,Hawks,80.7,10.0,69.23,0.5,0.5,24.2,0.8,4.4,8
Lucious Harris,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Anthony Tucker,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Andrew Lang,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Miles McBride,Knicks,70.12,30.65,71.05,0.15,0.19,12.4,1.2,0.9,52
Svi Mykhailiuk,"Knicks, Hornets",72.73,43.68,65.71,0.62,0.42,21.2,2.0,1.8,24
Ryan Arcidiacono,"Trail Blazers, Knicks",74.7,40.0,0.0,0.45,0.09,12.0,1.5,1.4,11
Frank Ntilikina,Mavericks,77.75,26.23,64.52,0.32,0.17,14.3,1.3,1.4,41
Andy Toolson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Eric Williams,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alec Burks,Pistons,71.16,42.29,81.53,0.5,0.26,30.7,2.2,2.9,42
J.D. Davison,Celtics,75.0,28.57,50.0,0.43,0.14,9.0,1.6,1.1,7
Chucky Brown,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Marvin Bagley III,Pistons,79.84,31.48,76.25,0.37,0.34,35.9,0.9,6.0,35
Vernon Carey Jr.,Wizards,76.0,0.0,100.0,0.0,0.12,5.0,0.4,1.2,8
George McCloud,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lindsey Hunter,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LaMelo Ball,Hornets,69.91,38.05,83.5,1.71,0.74,62.5,8.6,6.4,31
Jamal Cain,Heat,84.25,38.89,77.27,0.2,0.07,18.0,0.7,3.1,15
Greg Minor,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mario Elie,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Donnie Boyce,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Rick Fox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TyTy Washington Jr.,Rockets,67.97,26.76,56.25,0.29,0.14,14.6,1.6,1.5,28
Kevin Duckworth,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jaren Jackson Jr.,Grizzlies,79.18,35.47,79.44,0.74,1.06,54.9,1.0,6.6,53
Sam Cassell,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A.J. Lawson,"Mavericks, Timberwolves",78.31,40.91,25.0,0.18,0.18,12.8,0.1,1.8,11
Ish Wainright,Suns,76.23,32.68,82.76,0.11,0.11,16.6,0.9,2.2,53
Doc Rivers,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Davis Bertans,Mavericks,75.24,40.34,91.67,0.19,0.08,14.5,0.5,1.3,36
Joe Wolf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Doug Smith,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AJ Green,Bucks,71.9,40.24,100.0,0.15,0.04,13.0,0.8,1.4,26
Corliss Williamson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tim Breaux,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Toni Kukoc,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Keon Ellis,Kings,76.47,54.55,57.14,0.0,0.0,4.8,0.5,0.6,13
Willie Burton,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Gary Harris,Magic,75.91,44.39,89.29,0.28,0.28,23.8,1.1,2.1,43
Chris Mills,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Donald Royal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Theo Pinson,Mavericks,77.06,34.62,81.82,0.19,0.16,11.7,1.4,1.8,31
Jerome Allen,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kenny Anderson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Dennis Schroder,Lakers,71.92,33.83,84.58,1.17,0.71,34.4,4.6,2.4,59
Thomas Bryant,"Nuggets, Lakers",86.68,47.17,71.96,0.27,0.61,34.7,0.5,6.1,51
Clifford Robinson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Orlando Robinson,Heat,89.58,0.0,70.97,0.21,0.29,22.3,0.9,4.0,28
Jayson Williams,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Antoine Carr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jamal Mashburn,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Robert Parish,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Antonio Harvey,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Stefano Rusconi,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Terry Cummings,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Pat Connaughton,Bucks,75.52,34.04,70.97,0.29,0.25,27.4,1.2,4.7,55
Derrick Alston,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Julian Champagnie,"76ers, Spurs",72.69,39.71,76.92,0.36,0.21,25.1,0.6,3.8,14
Vernon Maxwell,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Eric Leckner,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bill Wennington,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Darrin Hancock,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ron Harper Jr.,Raptors,76.0,42.86,100.0,0.0,0.14,6.0,0.6,1.0,7
Kendall Brown,Pacers,89.29,0.0,50.0,0.0,0.17,8.5,0.5,1.0,6
Joe Dumars,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Antonio Davis,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Harvey Grant,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Anthony Mason,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Yinka Dare,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Thomas Hamilton,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lorenzo Williams,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hakeem Olajuwon,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Moritz Wagner,Magic,81.2,31.97,84.85,0.4,0.56,33.7,1.5,4.6,52
Kenny Smith,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Brent Price,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Devon Dotson,Wizards,69.57,0.0,0.0,0.0,0.25,8.0,1.2,1.5,4
LaPhonso Ellis,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Josh Minott,Timberwolves,76.56,33.33,100.0,0.0,0.3,10.6,0.3,2.2,10
Mfiondu Kabengele,Celtics,78.26,0.0,100.0,0.0,0.0,9.5,0.0,2.5,4
Danny Manning,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
John Coker,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Michael Cage,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Markelle Fultz,Magic,77.14,30.38,78.26,1.34,0.7,39.1,5.6,3.9,56
James Robinson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alize Johnson,Spurs,89.29,0.0,50.0,0.25,0.0,12.8,0.2,2.5,4
Johnny Newman,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Armen Gilliam,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tyus Edney,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lou Roe,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
T.J. Warren,"Nets, Suns",75.26,34.48,82.14,0.14,0.19,21.0,1.1,3.0,36
Bogdan Bogdanovic,Hawks,70.81,41.14,82.35,0.91,0.28,33.8,2.9,3.1,47
Rex Chapman,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Khris Middleton,Bucks,73.68,31.48,90.2,1.39,0.58,43.2,4.9,4.2,33
Derrick Phelps,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Terry Dehere,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
J.R. Reid,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jalen Rose,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Trevelin Queen,Pacers,70.97,16.67,100.0,0.83,0.17,15.3,0.8,2.5,6
Sherman Douglas,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Victor Oladipo,Heat,72.59,35.43,72.46,1.25,0.39,32.4,3.3,2.9,36
Doug Edwards,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Micheal Williams,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ziaire Williams,Grizzlies,75.4,27.38,77.27,0.63,0.07,20.3,0.9,2.3,30
Reggie Williams,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Luka Garza,Timberwolves,80.91,38.89,80.0,0.17,0.3,19.3,0.6,2.4,23
Mookie Blaylock,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kevin Johnson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kemba Walker,Mavericks,70.65,24.0,80.95,0.29,0.57,21.9,2.4,1.7,7
Bo Outlaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alondes Williams,Nets,100.0,0.0,0.0,1.0,0.0,12.0,0.0,1.0,1
Junior Burrough,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Antonio McDyess,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jon Barry,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kira Lewis Jr.,Pelicans,75.0,44.12,86.36,0.32,0.4,12.9,0.9,1.3,25
Neemias Queta,Kings,91.67,0.0,0.0,0.2,0.0,13.2,0.2,2.2,5
Sharone Wright,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Andre Iguodala,Warriors,90.14,12.5,0.0,0.88,0.0,16.1,2.0,1.9,8
Avery Johnson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
McKinley Wright IV,Mavericks,76.96,36.0,80.0,0.43,0.24,16.0,2.3,2.0,21
Tyler Dorsey,Mavericks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Stanley Johnson,Spurs,85.42,45.95,68.57,0.85,0.31,24.1,2.1,3.3,26
Vlade Divac,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Brent Barry,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Greg Ostertag,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Matt Geiger,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Chris Whitney,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
John Crotty,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Robert Williams III,Celtics,94.3,0.0,62.5,0.38,0.32,39.7,1.4,8.2,34
Chris Childs,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Charlie Ward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Vern Fleming,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Voshon Lenard,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Zan Tabak,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Don Reid,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Joe Ingles,Bucks,78.7,41.4,85.71,0.81,0.1,24.8,3.3,2.9,42
Timofey Mozgov,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Arvydas Sabonis,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Wang Xuemeng,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Anthony Bowie,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Brooks Thompson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Cedric Lewis,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Olden Polynice,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Anthony Avent,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Benoit Benjamin,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jason Caffey,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Frank Brickowski,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Felton Spencer,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lamond Murray,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Chris Morris,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Darryl Johnson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alan Henderson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mike Peplowski,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Greg Sutton,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Rasheed Wallace,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Rastko Cvetkovic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hersey Hawkins,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Popeye Jones,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Matt Bullard,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Shawn Bradley,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Pooh Richardson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ledell Eackles,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Reggie Miller,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sterling Brown,Lakers,80.0,0.0,0.0,0.0,0.25,8.0,0.5,2.0,4
Gary Trent,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Loren Meyer,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Dwayne Morton,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Dee Brown,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Dereon Seabron,Pelicans,62.5,0.0,0.0,0.0,0.33,3.3,0.0,0.3,3
PJ Dozier,Kings,66.18,12.5,0.0,0.18,0.09,8.4,0.9,1.3,11
Gary Payton II,"Warriors, Trail Blazers",88.55,43.48,85.71,0.3,0.05,20.9,1.2,3.2,20
Trevor Ruffin,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jared Rhoden,Pistons,78.69,26.32,100.0,0.08,0.42,16.9,0.3,2.9,12
Eldridge Recasner,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Dino Radja,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ricky Rubio,Cavaliers,75.97,29.85,80.65,0.5,0.43,21.2,3.3,2.1,28
Eric Montross,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sedale Threatt,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Saben Lee,Suns,74.63,40.74,71.15,0.75,0.65,22.4,3.0,2.1,20
Carlos Rogers,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Glenn Robinson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Chauncey Billups,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tom Hammonds,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Michael Curry,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Scott Williams,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Terry Catledge,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Joe Wieskamp,Raptors,61.9,33.33,0.0,0.2,0.2,5.8,0.6,0.4,5
Carlik Jones,Bulls,70.97,50.0,62.5,0.2,0.4,10.4,1.2,1.0,5
Alonzo Mourning,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Greg Grant,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tony Dumas,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ed O'Bannon,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Dan Majerle,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jonathan Isaac,Magic,72.64,33.33,55.56,0.0,0.1,16.3,0.5,3.7,10
Jeff Grayer,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Rod Strickland,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Charles Jones,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Scott Brooks,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mark Jackson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tracy Murray,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Danny Green,"Cavaliers, Grizzlies",74.19,43.48,0.0,0.12,0.12,12.8,0.5,1.2,8
Dell Curry,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Dwayne Schintzius,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Frankie King,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Daniel Theis,Pacers,76.77,18.18,41.67,0.0,0.43,22.7,1.3,3.1,7
Terry Davis,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Keith Askins,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tim Legler,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Craig Ehlo,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Deonte Burton,Kings,33.33,0.0,0.0,0.0,0.5,1.0,0.0,0.0,2
Clar. Weatherspoon,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Darius Days,Rockets,68.18,30.0,100.0,0.0,0.25,8.8,0.2,1.5,4
Chris Silva,Mavericks,100.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
Brian Shaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bobby Hurley,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Derrick McKey,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Will Perdue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Eric Mobley,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Dikembe Mutombo,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Chris King,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jamaree Bouyea,Heat,82.93,40.0,50.0,0.5,0.25,17.8,1.0,1.2,4
Nick Anderson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Quenton Jackson,Wizards,68.75,10.0,75.0,0.12,0.25,13.0,1.8,0.9,8
John Stockton,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
John Battle,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Karl Malone,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Stanley Umude,Pistons,0.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,1
Kris Dunn,Jazz,79.08,43.75,77.36,0.76,0.76,37.2,5.8,4.7,21
Elmore Spencer,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Byron Houston,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Terry Mills,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Cory Alexander,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Marty Conlon,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Cody Zeller,Heat,87.88,0.0,69.57,0.27,0.27,27.8,0.7,4.3,11
Jae Crowder,Bucks,80.09,44.9,83.33,0.06,0.12,23.2,1.5,3.8,17
Meyers Leonard,Bucks,86.92,41.18,88.89,0.12,0.25,25.1,0.1,4.1,8
David Wood,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Robert Horry,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Johnny Juzang,Jazz,62.07,21.05,50.0,0.06,0.12,13.5,0.5,2.2,17
Danny Ferry,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Steve Kerr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Darrick Martin,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Trevor Keels,Knicks,66.67,50.0,0.0,0.0,0.0,5.0,0.0,1.0,1
Steve Colter,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P.J. Brown,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bison Dele,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Frank Jackson,Jazz,40.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1
Jared Butler,Thunder,71.19,50.0,0.0,0.6,0.8,18.2,1.6,0.8,5
Buddy Boeheim,Pistons,53.19,16.0,100.0,0.0,0.0,6.2,0.4,0.7,9
Sam Merrill,Cavaliers,61.11,22.22,0.0,0.0,0.0,6.0,1.0,1.2,4
Joe Smith,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Pervis Ellison,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Anthony Miller,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Horace Grant,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Olivier Sarr,Thunder,86.36,16.67,71.43,0.29,0.0,22.6,0.6,4.0,7
Bryant Stith,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Doug Overton,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Omer Yurtseven,Heat,87.34,42.86,83.33,0.38,0.12,18.2,0.2,2.8,8
Jay Huff,Wizards,86.3,50.0,93.75,0.5,0.0,24.5,1.3,3.5,6
Dylan Windler,Cavaliers,83.33,50.0,0.0,0.5,0.0,5.5,0.5,0.0,2
Isaiah Rider,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Eric Snow,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lindell Wigginton,Bucks,74.67,33.33,88.89,1.0,0.33,21.0,2.3,1.2,6
Xavier Cooks,Wizards,89.0,0.0,40.0,0.67,0.33,20.2,0.6,4.1,9
Nick Van Exel,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kevin Edwards,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jeff Hornacek,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Calbert Cheaney,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kurt Thomas,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bill Curley,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jarrell Brantley,Jazz,79.31,44.44,100.0,0.67,0.0,17.3,1.0,2.0,3
Xavier Moon,Clippers,60.0,33.33,0.0,0.0,0.0,4.8,1.2,0.8,4
Pan Zhenqi,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jerry Stackhouse,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Luka Samanic,Jazz,78.01,25.81,69.23,0.86,0.43,33.9,2.1,4.3,7
David Benoit,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lester Quinones,Warriors,78.57,50.0,66.67,0.25,0.0,7.0,0.5,0.8,4
Skylar Mays,Trail Blazers,75.18,46.15,92.31,0.83,1.33,38.3,8.3,3.2,6
Shaquille Harrison,Trail Blazers,76.4,30.0,73.33,0.4,0.4,30.0,6.0,4.4,5
Xavier Sneed,Hornets,84.85,50.0,100.0,0.25,0.25,15.8,1.2,1.2,4
Kobi Simmons,Hornets,55.56,25.0,100.0,0.0,0.0,4.3,0.7,0.7,3
Jay Scrubb,Magic,91.3,100.0,50.0,0.5,1.0,22.5,0.5,3.0,2
Michael Carter-Williams,Magic,79.49,33.33,57.14,0.5,0.5,16.8,1.8,1.2,4
Jeenathan Williams,Trail Blazers,82.76,37.5,66.67,0.4,0.4,29.8,2.0,3.0,5
Duane Ferrell,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sam Perkins,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Donovan Williams,Hawks,57.14,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2
Justin Minaya,Trail Blazers,73.33,25.0,0.0,0.5,0.0,22.8,1.0,3.8,4
Antonio Lang,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Gabe York,Pacers,68.29,33.33,100.0,0.0,0.67,21.3,1.7,2.0,3
Dwayne Whitfield,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mac McClung,76ers,81.82,50.0,100.0,2.0,1.0,21.0,0.0,1.0,1
Chance Comanche,Trail Blazers,75.0,0.0,25.0,0.0,0.0,13.0,0.0,3.0,1
Jacob Gilyard,Grizzlies,84.62,33.33,0.0,1.0,0.0,23.0,7.0,4.0,1
Brian Grant,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Michael Foster Jr.,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
